100	1003
101	1001
102	1000
103	1000
103	1001
103	1003
104	1000
104	1003
104	1005
105	1000
105	1003
106	1000
107	1001
107	1002
109	1001
109	1002
110	1000
110	1001
117	1000
117	1001
118	1002
119	1000
119	1006
120	1001
120	1001
120	1006
121	1000
121	1001
121	1002
121	1003
121	1004
121	1005
121	1006
122	1001
122	1001
123	1000
123	1001
123	1002
124	1000
124	1001
124	1005
124	1006
125	1001
125	1002
125	1005
125	1006
126	1000
126	1001
126	1002
126	1005
126	1006
127	1001
127	1002
127	1003
127	1004
127	1005
127	1006
128	1001
128	1003
128	1006
129	1000
129	1003
130	1000
130	1002
130	1003
131	1000
131	1002
131	1003
132	1000
132	1001
132	1003
133	1003
134	1000
134	1003
135	1001
135	1003
135	1005
136	1005
138	1002
139	1000
140	1001
141	1000
141	1002
142	1002
143	1001
144	1001
145	1001
146	1000
149	1000
149	1001
149	1002
149	1003
149	1004
149	1005
149	1006
151	1005
151	1006
152	1006
153	1003
153	1006
154	1002
154	1006
155	1000
155	1006
156	1001
156	1002
156	1003
156	1006
157	1002
157	1006
158	1000
158	1006
159	1003
159	1006
160	1003
160	1004
160	1006
161	1004
161	1006
162	1004
162	1006
163	1001
163	1004
163	1006
164	1004
164	1006
165	1004
165	1006
166	1001
166	1004
166	1006
167	1001
167	1003
167	1006
168	1001
168	1003
168	1006
169	1003
169	1006
170	1003
170	1006
171	1003
171	1006
172	1003
172	1006
173	1000
173	1003
173	1006
174	1003
174	1006
175	1006
180	1000
184	1004
185	1004
186	1004
187	1004
188	1004
189	1004
191	1000
